gene,avg_log2FC,pct.1,pct.2,p_val,p_val_adj,sample,direction
PALM2-AKAP2,1.06006963,0.696,0.909,0,0.000001498998882,ETO,UP
NABP1,1.288210168,0.561,0.659,0,0.00000002331244747,IR,UP
MEG3,1.807314007,0.546,0.838,0,0,IR,UP
DDR2,1.008612355,0.653,0.781,0,0,ETO,UP
HIPK2,1.006178238,0.645,0.782,0,0,ETO,UP
DYNC1LI2,1.141629779,0.693,0.773,0,0,ETO,UP
IGFBP7,1.151919022,0.844,0.986,0,0,ETO,UP
SQSTM1,1.052772323,0.744,0.948,0,0,ETO,UP
ZNF106,1.008054992,0.654,0.755,0,0,ETO,UP
STOM,1.14768506,0.532,0.593,0,0,ETO,UP
G0S2,-1.391048926,0.181,0.324,0,0,IR,DOWN
NIBAN2,1.125703433,0.675,0.708,0,0,ETO,UP
G0S2,-1.006206797,0.162,0.324,0,0,RS,DOWN
PALM2-AKAP2,1.058080535,0.766,0.909,0,0,IR,UP
G0S2,-1.469846155,0.161,0.324,0,0,ETO,DOWN
PALLD,1.271021266,0.782,0.907,0,0,ETO,UP
SERPINE2,1.373953619,0.62,0.674,0,0,ETO,UP
RASSF3,1.264161029,0.529,0.355,0,0,ETO,UP
DCN,1.424990541,0.741,0.888,0,0,ETO,UP
GRN,1.183994208,0.577,0.665,0,0,ETO,UP
GDF15,1.471670898,0.344,0.168,0,0,ETO,UP
MFGE8,1.303023182,0.697,0.874,0,0,ETO,UP
PSAP,1.312150596,0.602,0.722,0,0,ETO,UP
PLD3,1.061949141,0.619,0.707,0,0,ETO,UP
SERPINE2,1.218781378,0.667,0.674,0,0,IR,UP
IGFBP7,1.317617874,0.882,0.986,0,0,IR,UP
CCDC80,1.234279925,0.764,0.875,0,0,ETO,UP
PALLD,1.085876709,0.793,0.907,0,0,IR,UP
F3,1.263224854,0.568,0.438,0,0,IR,UP
MT-ND3,1.284911414,0.894,0.985,0,0,ETO,UP
DAB2,1.238767479,0.665,0.778,0,0,IR,UP
SERINC1,1.15992126,0.676,0.707,0,0,ETO,UP
PDE5A,1.050598249,0.626,0.549,0,0,IR,UP
GLRX,1.123950518,0.696,0.729,0,0,ETO,UP
QSOX1,2.222410537,0.671,0.82,0,0,ETO,UP
TGFBI,1.131514258,0.741,0.835,0,0,IR,UP
KIF1C,1.244377126,0.585,0.374,0,0,ETO,UP
CDKN1A,1.512551886,0.646,0.589,0,0,ETO,UP
DCN,1.269172677,0.781,0.888,0,0,IR,UP
CYBA,1.235926513,0.707,0.71,0,0,ETO,UP
GDF15,1.504921149,0.418,0.168,0,0,IR,UP
SERINC1,1.131058383,0.703,0.707,0,0,IR,UP
GAS6,1.426632474,0.83,0.955,0,0,ETO,UP
KIF1C,1.017830882,0.61,0.374,0,0,IR,UP
PERP,1.014264511,0.728,0.83,0,0,ETO,UP
CCL2,1.195492334,0.365,0.115,0,0,ETO,UP
RAB13,2.12497958,0.863,0.92,0,0,IR,UP
GRN,1.126064389,0.645,0.665,0,0,IR,UP
PSAP,1.190663203,0.665,0.722,0,0,IR,UP
SAT1,1.052730715,0.581,0.397,0,0,ETO,UP
SOD2,1.017178064,0.706,0.649,0,0,IR,UP
DKK3,1.140727631,0.785,0.945,0,0,IR,UP
PDLIM1,1.086763676,0.811,0.918,0,0,ETO,UP
APOE,1.085548888,0.328,0.068,0,0,ETO,UP
C1S,1.136479845,0.465,0.211,0,0,ETO,UP
CLU,1.739512328,0.625,0.5,0,0,ETO,UP
AKR1B1,1.22732609,0.79,0.866,0,0,ETO,UP
STC1,1.089331233,0.8,0.573,0,0,RS,UP
METRN,1.014581842,0.736,0.722,0,0,ETO,UP
CCDC80,1.401497309,0.802,0.875,0,0,IR,UP
PERP,1.169296999,0.748,0.83,0,0,IR,UP
NEAT1,1.404884515,0.51,0.957,0,0,IR,UP
HSPB6,1.458594524,0.763,0.719,0,0,ETO,UP
PINK1,1.073390341,0.588,0.279,0,0,ETO,UP
CYBA,1.447254843,0.757,0.71,0,0,IR,UP
PDLIM1,1.002508749,0.831,0.918,0,0,IR,UP
FTH1,2.128947376,1,1,0,0,ETO,UP
FTL,1.784876756,1,1,0,0,ETO,UP
SERF2,1.61552985,0.995,1,0,0,ETO,UP
FTH1,1.4773622,1,1,0,0,IR,UP
SERF2,1.386080751,0.993,1,0,0,IR,UP
MT2A,1.290611563,0.999,1,0,0,RS,UP
FTL,1.247703616,1,1,0,0,IR,UP
S100A6,1.087821902,0.999,1,0,0,ETO,UP
TPT1,1.067491715,0.998,1,0,0,ETO,UP
S100A6,1.041113615,1,1,0,0,RS,UP
RPS19,1.000198997,0.999,1,0,0,ETO,UP
HSP90AA1,-1.01548584,0.932,1,0,0,ETO,DOWN
RAN,-1.04817211,0.871,1,0,0,IR,DOWN
EIF4A1,-1.106763758,0.892,1,0,0,IR,DOWN
HSP90AA1,-1.112123601,0.93,1,0,0,IR,DOWN
PTMS,-1.115411418,0.805,1,0,0,IR,DOWN
EIF4A1,-1.150951606,0.838,1,0,0,ETO,DOWN
H2AFZ,-1.163422476,0.918,1,0,0,RS,DOWN
PTMS,-1.19598916,0.779,1,0,0,ETO,DOWN
ACTG1,-1.235513852,0.959,1,0,0,ETO,DOWN
HMGB1,-1.246048582,0.971,1,0,0,RS,DOWN
RAN,-1.295080075,0.824,1,0,0,ETO,DOWN
PTMA,-1.471418954,0.978,1,0,0,RS,DOWN
